ID	Sex	Name	Father No.	Mother No.	id_from_page	name	father_id	mother_id	Different
704	2	AVIDA (Arwida)	244	581	7040	Avida	2440	5810	TRUE
715	2	POŽOGA	229	520	7150	Pożoga	2290	5200	TRUE
738	1	PODBIPIETA	229	674	7380	Podbipięta	2290	6740	TRUE
750	1	SPRINGINFELD	613	240	7500	Springinsfeld	6130	2400	TRUE
751	1	AVARES	244	611	7510	Avarez	2440	6110	TRUE
755	2	BYEŁOWIEŽKA	543	624	7550	Byełowieżka	5430	6240	TRUE
779	1	ARISTIDE	488	260	7790	Artistide	4880	2600	TRUE
801	2	MURAWKA	676	696	8010	Muravka	6760	6960	TRUE
802	2	SPITFLASCHI	558	663	8020	Spritflasche	5580	6630	TRUE
804	1	SPIEGEL	558	240	8040	Spriegel	5580	2400	TRUE
806	1	STOR-GÖRAN	652	685	8060	Storgöran	6520	6850	TRUE
812	2	POREBA	229	524	8120	Poręba	2290	5240	TRUE
831	2	POZLOTA	716	737	8310	Pozłota	7160	7370	TRUE
833	2	BYELUŽKA	675	268	8330	Byełużka	6750	2680	TRUE
837	2	BYELOCZKA	675	718	8370	Byełoczka	6750	7180	TRUE
838	2	MOLNIJA	679	547	8380	Mołnija	6790	5470	TRUE
839	2	SPRITZGURKE	558	240	8390	Spritz-Gurke	5580	2400	TRUE
863	1	PLASTUS	546	577	8630	Plastuś	5460	5770	TRUE
864	1	PULKOWNIK	542	673	8640	Pułkownik	5420	6730	TRUE
867	2	PUSTULKA II	761	725	8670	Pustułka II	7610	7250	TRUE
873	1	BYESLAN	680	754	8730	Byesłan	6800	7540	TRUE
874	2	BYERLOGA	675	268	8740	Byerłoga	6750	2680	TRUE
877	2	MOSZKA	679	715	8770	Moška	6790	7150	TRUE
883	2	ARAIDNE	488	683	8830	Ariadne	4880	6830	TRUE
886	0	HE	506	758	8860	He…	5060	7580	TRUE
887	2	DU	782	664	8870	Du…	6931	6640	TRUE
895	1	POSTEP	738	740	8950	Postęp	7380	7400	TRUE
898	2	PUZLOTKA	761	748	8980	Puzłotka	7610	7480	TRUE
899	1	PULAN	542	627	8990	Pułan	5420	6270	TRUE
911	2	PUŹNIANKA	542	673	9110	Późnianka	5420	6730	TRUE
914	2	BYEŹYCA	675	268	9140	Byeżyca	6750	2680	TRUE
940	2	POLUDNICA	738	740	9400	Południca	7380	7400	TRUE
944	1	PUSZCZYSLAW	815	795	9440	Puszczysław	8150	7950	TRUE
949	1	BYEDOWYJ II	628	774	9490	Byedovyj II	6980	7750	TRUE
950	2	BYEDOWYJKA II	872	837	9500	Byedowaja II	7720	8370	TRUE
952	2	MUSZKA	676	696	9520	Muška	6760	6960	TRUE
967	1	KOSTES-KAFT	637	753	9670	Kosteskaft	6370	7530	TRUE
983	1	PUJATEK	815	790	9830	Pujątek	8150	7900	TRUE
993	1	BYERYEG	675	774	9930	Byereg	6750	7740	TRUE
995	2	SPUR II	750	661	9950	Spur	7500	6610	TRUE
1007	2	ARSINOË	844	683	10070	Arsinöe	8440	6830	TRUE
1031	1	PODCHORAZY	902	736	10310	Podchorąży	9020	7360	TRUE
1033	2	PUDZKA	761	724	10330	Pudźka	7610	7240	TRUE
1037	2	PULA II	829	908	10370	Pula 2	8290	9080	TRUE
1043	1	MUROMIEC	872	801	10430	Muromec	8720	8010	TRUE
1044	2	BYEDNAJA II	675	624	10440	Byednaja 2	6750	6240	TRUE
1046	2	MOSKOWKA	679	788	10460	Moskovka	6790	7880	TRUE
1052	1	BYERESKLET	860	875	10520	Byersklest	8600	8750	TRUE
1054	2	SPRECHREIN	750	661	10540	Sprechin	7500	6610	TRUE
1072	2	POSAZNA	738	524	10720	Posażna	NA	NA	TRUE
1076	2	PUSTYNIA II	815	723	10760	Pustynia	NA	NA	TRUE
1089	2	MURASZKA	872	801	10890	Muraška	8720	8010	TRUE
1094	2	MOZAJKA	764	715	10940	Możajka	7640	7150	TRUE
1100	2	BYEZA	675	754	11000	Byeża	6750	7540	TRUE
1143	2	PORECZNA	902	740	11430	Poręczna	9020	7400	TRUE
1153	2	POLAGA	789	831	11530	Połąga	7890	8310	TRUE
1169	2	MUZIEJANKA	675	871	11690	Muzejanka	6760	8710	TRUE
1200	1	POSAG	980	1025	12000	Posąg	9800	10250	TRUE
1206	2	POTEGA	738	770	12060	Potęga	7380	7700	TRUE
1222	2	POKAZNA	762	735	12220	Pokaźna	7620	7350	TRUE
1224	2	POSTAWNA	902	977	12240	Postawana	9020	9770	TRUE
1226	1	PODÓL	902	832	12260	Podół	9020	8320	TRUE
1227	1	POTRZACK	984	827	12270	Potrzask	9840	8270	TRUE
1236	2	MUCHOŁOWKA	872	952	12360	Muholovka	8720	9520	TRUE
1250	2	MOZAJKA	894	715	12500	Mozaika	8940	7150	TRUE
1252	2	SPELUNKA	930	920	12520	Spelunke	9300	9200	TRUE
1282	1	POGROM	738	740	12820	Pogrom II	7380	7400	TRUE
1311	1	BYEZMIERTNYJ	698	875	13110	Byezsmiertnyj	6980	8750	TRUE
1316	2	MUSZA	872	952	13160	Muša	8720	9520	TRUE
1317	2	MUTOWKA	676	1042	13170	Mutovka	6760	10420	TRUE
1320	1	MOZAJSK	1092	1094	13200	Możajsk	10920	10940	TRUE
1326	1	BYEZENIEC	860	874	13260	Byeżeniec	8600	8740	TRUE
1336	1	ASTOR-OLLE	636	660	13360	Stor-Olle	6360	6600	TRUE
1350	2	SILVANA	993	1122	13500	Slivana	9930	11220	TRUE
1395	2	MURAWIEJKA	676	1089	13950	Marawiejka	6760	10890	TRUE
1396	2	BYEZENKA	860	1100	13960	Byeżenka	8600	11000	TRUE
1400	2	MESZCZERA	1092	1169	14000	Meščera	10920	11690	TRUE
1403	2	BYEZPRIDANNICA	698	775	14030	Byezpiridannica	6980	7750	TRUE
1404	2	MOLOZKA	894	838	14040	Mołożka	8940	8380	TRUE
1405	1	MOSKOWIT	894	1046	14050	Moskiwit	8940	10460	TRUE
1406	1	BYELUZNYJ	860	1048	14060	Byełużnyj	8600	10480	TRUE
1433	1	SIVKO	815	869	14330	Siwko	8150	8690	TRUE
1434	1	ANONO	779	968	14340	Anolo	7790	9680	TRUE
1437	1	GYARMATPUSZTA	949	819	14370	Gyarmat - Puszta	9490	8190	TRUE
1444	1	BALKAN	879	1079	14440	???	8790	10790	TRUE
1461	2	ZOLÓDKA	822	859	14610	Zołódka	8220	8590	TRUE
1465	1	POZAR	738	975	14650	Pożar	7380	9750	TRUE
1466	2	PUCNOTA	879	1030	14660	Pusnota	8790	10300	TRUE
1469	2	PLAMA	789	1131	14690	Plama II	7890	11310	TRUE
1485	2	BYESIEDA	1074	987	14850	Byeseda	NA	9870	TRUE
1495	1	MOZZEWIELNIK	894	1094	14950	Możżewielnik	9840	10940	TRUE
1497	2	BYEZNAJA	860	914	14970	Byeżnaja	8600	9140	TRUE
1498	1	BYERCZYK	0	1156	14980	Byerczuk	NA	11560	TRUE
1509	2	BYEŁOSNIEZKA	698	1167	15090	Byełosnieżka	6980	11670	TRUE
1511	1	BYEZANIEC	0	1100	15110	Byeżaniec	NA	11000	TRUE
1512	2	MOŁDOWA	1092	838	15120	Moldova	10920	8380	TRUE
1519	1	SPITZ	1053	839	15190	Pritz	10530	8390	TRUE
1523	1	EGINHHARD	1056	1107	15230	Eginhard	10560	11070	TRUE
1531	1	FRANKFURTH	789	1138	15310	Frankfurt	7890	11380	TRUE
1532	2	ARDILLA	780	683	15320	Aridlla	7800	6830	TRUE
1544	1	KOMUCUS	1149	1142	15440	Komicus	11490	11420	TRUE
1558	2	VOLIDA	1129	1083	15580	???	11290	10830	TRUE
